CC;European.list.coalition;alternative;national party;votes;comment;seats
EL;Greens;DiEM25;Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής;169635;;0
EL;none;no alternative;Πλεύση Ελευθερίας;90927;;0
EL;none;no alternative;Ποτάμι;85934;;0
EL;RENEW;EDP;Ένωση Κεντρώων;82084;;0
EL;none;no alternative;Ελλάδα, ο άλλος δρόμος;70347;;0
EL;none;no alternative;Λαϊκός Ορθόδοξος Συναγερμός;69779;;0
EL;none;no alternative;Πολίτες Ηλία Ψινάκη;51398;;0
EL;Greens;EGP;Οικολόγοι Πράσινοι;49418;;0
EL;none;no alternative;Ανεξάρτητοι Έλληνες;45148;;0
EL;none;no alternative;Ελεύθερη Πατρίδα;41269;;0
EL;Greens;EFA;Κόμμα Ισότητας, Ειρήνης και Φιλίας;40211;;0
EL;none;no alternative;Δημιουργία, ξανά!;39217;;0
EL;none;no alternative;Νέα Δεξιά;37540;;0
EL;none;no alternative;Αντικαπιταλιστική Αριστερή Συνεργασία για την Ανατροπή;36361;;0
EL;none;no alternative;Αγροτικό Κτηνοτροφικό Κόμμα Ελλάδας;32014;;0
EL;none;no alternative;Λαϊκή Ενότητα;31648;;0
EL;none;no alternative;Ελλήνων Συνέλευσις;29509;;0
EL;none;no alternative;Οικολογία Πράσινοι-Αλληλεγγύη;25245;;0
EL;none;no alternative;ΕΝΥΠΕΚΚ - Όρθια Ελλάδα;22341;;0
EL;none;no alternative;Κόμμα Νέων;18458;;0
EL;none;no alternative;Δημοκρατική Ευθύνη;18207;;0
EL;none;no alternative;Νέα Ελληνική Ορμή;12278;;0
EL;none;no alternative;Μαρξιστικό-Λενινιστικό Κομμουνιστικό Κόμμα Ελλάδας;12231;;0
EL;none;no alternative;Έλληνες Οικολόγοι;11511;;0
EL;none;no alternative;Εθνικό Μέτωπο;10742;;0
EL;none;no alternative;Λαϊκές Ευρωπαϊκές Κοινωνικές Ομάδες;10264;;0
EL;none;no alternative;Άρμα Συνεργασίας;9893;;0
EL;none;no alternative;Έλληνες Ριζοσπάστες;9242;;0
EL;Greens;EFA;Ουράνιο Τόξο;6364;;0
EL;RENEW;ALDE;Φιλελεύθερη Συμμαχία;6032;;0
EL;none;no alternative;Οργάνωση Κομμουνιστών Διεθνιστών Ελλάδας;4803;;0
EL;none;no alternative;Κολλάτος–Ανεξάρτητο Πολιτικό Κίνημα;3065;;0
EL;none;no alternative;Λαϊκές Ενώσεις Υπερκομματικών Κοινωνικών Ομάδων;2886;;0
EL;none;no alternative;Ελληνικό Όραμα;1976;;0
HU;EPP;no alternative;Fidesz – Magyar Polgári Szövetség–Kereszténydemokrata Néppárt;1824220;;13
HU;PES;no alternative;Demokratikus Koalíció;557081;;4
HU;RENEW;ALDE;Momentum Mozgalom;344512;;2
HU;PES;no alternative;Magyar Szocialista Párt–Párbeszéd Magyarországért;229551;;1
HU;none;no alternative;Jobbik Magyarországért Mozgalom;220184;;1
HU;none;no alternative;Mi Hazánk Mozgalom;114156;;0
HU;none;no alternative;Magyar Kétfarkú Kutya Párt;90912;;0
HU;Greens;EGP;Lehet Más a Politika;75498;;0
HU;INITIATIVE;no alternative;Magyar Munkáspárt;14452;;0
PT;PES;no alternative;Partido Socialista;1106328;;9
PT;EPP;no alternative;Partido Social Democrata;727224;;6
PT;Left;no alternative;Bloco de Esquerda;325533;;2
PT;Left;no alternative;CDU – Coligação Democrática Unitária;228156;;2
PT;EPP;no alternative;CDS – Partido Popular;205106;;1
PT;APEU;no alternative;PESSOAS–ANIMAIS–NATUREZA;168501;;1
PT;RENEW;ALDE;Aliança;61753;;0
PT;Greens;DiEM25;LIVRE;60575;;0
PT;ECPM;no alternative;BASTA!;49496;;0
PT;RENEW;ALDE;Nós, Cidadãos!;34672;;0
PT;RENEW;ALDE;Iniciativa Liberal;29120;;0
PT;none;no alternative;Partido Comunista dos Trabalhadores Portugueses;27223;;0
PT;none;no alternative;Partido Nacional Renovador;16165;;0
PT;RENEW;ALDE;Partido Democrático Republicano;15790;;0
PT;none;no alternative;Partido Unido dos Reformados e Pensionistas;13582;;0
PT;none;no alternative;Partido Trabalhista Português;8640;;0
PT;none;no alternative;Movimento Alternativa Socialista;6641;;0
SE;PES;no alternative;Socialdemokraterna;974589;;5
SE;EPP;no alternative;Moderaterna;698770;;4
SE;ECR;no alternative;Sverigedemokraterna;636877;;3
SE;Greens;EGP;Miljöpartiet de Gröna;478258;;3
SE;RENEW;ALDE;Centerpartiet;447641;;2
SE;EPP;no alternative;Kristdemokraterna;357856;;2
SE;Left;no alternative;Vänsterpartiet;282300;;1
SE;RENEW;ALDE;Liberalerna;171419;;1
SE;none;no alternative;Feministiskt initiativ;32143;;0
SE;Greens;EUPP;Piratpartiet;26526;;0
SE;none;no alternative;Alternativ för Sverige;19178;;0
SE;none;no alternative;Medborgerlig Samling;6363;;0
SE;none;no alternative;Partiet Vändpunkt;5171;;0
SE;APEU;no alternative;Djurens parti;4105;;0
SE;none;no alternative;Landsbygdspartiet Oberoende;2059;;0
SE;none;no alternative;Kristna Värdepartiet;1596;;0
SE;none;no alternative;Direktdemokraterna;1276;;0
SE;INITIATIVE;no alternative;Sveriges Kommunistiska Parti;974;;0
SE;none;no alternative;Vi Socialkonservativa;715;;0
SE;none;no alternative;Klassiskt liberala partiet;702;;0
SE;none;no alternative;Basinkomstpartiet;213;;0
SE;none;no alternative;SKÅNEPARTIET;117;;0
SE;none;no alternative;Sverige ut ur EU/Frihetliga Rättvisepartiet;103;;0
SE;none;no alternative;TRYGGHETSPARTIET;53;;0
SE;none;no alternative;NY REFORM;50;;0
SE;none;no alternative;Common sense in Sweden;33;;0
SE;none;no alternative;Europeiska Arbetarpartiet-EAP;29;;0
SE;none;no alternative;Solens Frihetsparti;19;;0
SE;none;no alternative;Boningpartiet, Sveriges Rikes 3kr Bondesrepublikanerna, co-op, B.r.p.;8;;0
SE;none;no alternative;Det nya partiet;7;;0
SE;none;no alternative;Valsamverkanspartiet;3;;0
SE;none;no alternative;Kustkult;2;;0
SE;none;no alternative;Parties not on the ballot;2315;;0
AT;EPP;no alternative;Österreichische Volkspartei;1305956;;7
AT;PES;no alternative;Sozialdemokratische Partei Österreichs;903151;;5
AT;ID;no alternative;Freiheitliche Partei Österreichs;650114;;3
AT;Greens;EGP;Die Grünen – Die Grüne Alternative;532193;;3
AT;RENEW;ALDE;NEOS – Das Neue Österreich und Liberales Forum;319024;;1
AT;none;no alternative;Europa Jetzt;39239;;0
AT;Left;no alternative;KPÖ Plus;30087;;0
BG;EPP;no alternative;ПП ГЕРБ;607194;;6
BG;PES;no alternative;БСП ЗА БЪЛГАРИЯ;474160;;5
BG;RENEW;ALDE;Движение за права и свободи - ДПС;323510;;3
BG;ECR;no alternative;ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ;143830;;2
BG;EPP;no alternative;ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ);118484;;1
BG;ID;no alternative;ВОЛЯ – Българските Родолюбци;70830;;0
BG;none;no alternative;ПАТРИОТИ ЗА ВАЛЕРИ СИМЕОНОВ (НФСБ И СРЕДНА ЕВРОПЕЙСКА КЛАСА);22421;;0
BG;RENEW;ALDE;ПЪТ НА МЛАДИТЕ (НДСВ и НОВОТО ВРЕМЕ);21315;;0
BG;none;no alternative;АТАКА;20906;;0
BG;none;no alternative;ПП „Възраждане“;20319;;0
BG;none;no alternative;КП Коалиция за България;16759;;0
BG;none;no alternative;ПП ДОСТ;7130;;0
BG;none;no alternative;ПП Глас Народен;6136;;0
BG;none;no alternative;партия на ЗЕЛЕНИТЕ;6051;;0
BG;none;no alternative;Движение 21;4141;;0
BG;ECR;no alternative;ПП „ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ“;3907;;0
BG;none;no alternative;Движение ЗАЕДНО;3731;;0
BG;Greens;VOLT;ПП ВОЛТ;3500;;0
BG;none;no alternative;ПРЯКА ДЕМОКРАЦИЯ;2425;;0
BG;none;no alternative;БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ;2370;;0
BG;none;no alternative;ВЪЗХОД;1855;;0
BG;indipendents;no alternative;Десислава Петрова Иванчева - независим кандидат;30310;;0
BG;indipendents;no alternative;Минчо Христов Куминев - независим кандидат;22992;;0
BG;indipendents;no alternative;Ваня Руменова Григорова - независим кандидат;9320;;0
BG;indipendents;no alternative;Николай Нанков Ненчев - независим кандидат;4222;;0
BG;indipendents;no alternative;Христо Симеонов Симеонов - независим кандидат;3548;;0
BG;indipendents;no alternative;Венислава Пламенова Атанасова - независим кандидат;2925;;0
FI;EPP;no alternative;Kokoomus;380460;;3
FI;Greens;EGP;Vihreät;292892;;3
FI;PES;no alternative;Sosiaalidemokraatit;267603;;2
FI;ID;no alternative;Perussuomalaiset;253176;;2
FI;RENEW;ALDE;Keskusta;247477;;2
FI;Left;no alternative;Vasemmistoliitto;126063;;1
FI;RENEW;ALDE;Svenska folkpartiet i Finland;115962;;1
FI;EPP;no alternative;Kristillisdemokraatit;89204;;0
FI;none;no alternative;Tähtiliike;16065;;0
FI;Greens;EUPP;Piraattipuolue;12579;;0
FI;ECR;no alternative;Siniset;6043;;0
FI;none;no alternative;Feministinen puolue;4442;;0
FI;Left;no alternative;Kommunistinen Puolue;3532;;0
FI;none;no alternative;Liberaalipuolue;3015;;0
FI;APEU;no alternative;Eläinoikeuspuolue;2917;;0
FI;none;no alternative;Suomen Kansa Ensin;2495;;0
FI;none;no alternative;Kansalaispuolue;2043;;0
FI;indipendents;no alternative;Junes Lokka;4077;;0
DK;RENEW;ALDE;Venstre;648203;;4
DK;PES;no alternative;Socialdemokratiet;592645;;3
DK;Greens;EGP;Socialistisk Folkeparti;364895;;2
DK;ID;no alternative;Dansk Folkeparti;296978;;1
DK;RENEW;ALDE;Radikale Venstre;277929;;2
DK;EPP;no alternative;Det Konservative Folkeparti;170544;;1
DK;Left;no alternative;Enhedslisten;151903;;1
DK;none;no alternative;Folkebevægelsen mod EU;102101;;0
DK;Greens;DiEM25;Alternativet;92964;;0
DK;none;no alternative;Liberal Alliance;60693;;0
SK;RENEW;ALDE;Progresívne Slovensko;99128;;2
SK;EPP;no alternative;SPOLU;99127;;2
SK;PES;no alternative;SMER – sociálna demokracia;154996;;3
SK;none;no alternative;Ľudová strana Naše Slovensko;118995;;2
SK;EPP;no alternative;Kresťanskodemokratické hnutie;95588;;2
SK;ECR;no alternative;Sloboda a Solidarita;94839;;2
SK;EPP;no alternative;OBYČAJNÍ ĽUDIA a nezávislé osobnosti;51834;;1
SK;EPP;no alternative;Strana maďarskej komunity – Magyar Közösség Pártja;48929;;0
SK;none;no alternative;Slovenská národná strana (1990);40330;;0
SK;ECPM;no alternative;Kresťanská únia;37974;;0
SK;ID;no alternative;SME RODINA – Boris Kollár;31840;;0
SK;EPP;no alternative;MOST – HÍD;25562;;0
SK;none;no alternative;Kresťanská demokracia – Život a prosperita;20374;;0
SK;none;no alternative;KOREKTÚRA – Andrej Hryc;8460;;0
SK;none;no alternative;Strana zelených Slovenska;7845;;0
SK;none;no alternative;*NÁRODNÁ KOALÍCIA;7145;;0
